model,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro,roc_auc_weighted_ovr,high_precision,high_recall,high_f1,param_C,param_class_weight,param_solver,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators
logistic_regression,0.893296853625171,0.8935497571973974,0.893296853625171,0.8929325727763516,0.8932613376259075,0.9771237757248287,0.8549222797927462,0.9065934065934066,0.88,1.0,balanced,lbfgs,,,,,
logistic_regression,0.893296853625171,0.8935497571973974,0.893296853625171,0.8929325727763516,0.8932613376259075,0.9770549316372898,0.8549222797927462,0.9065934065934066,0.88,2.0,balanced,lbfgs,,,,,
logistic_regression,0.893296853625171,0.8935497571973974,0.893296853625171,0.8929325727763516,0.8932613376259075,0.9770261539551001,0.8549222797927462,0.9065934065934066,0.88,5.0,balanced,lbfgs,,,,,
logistic_regression,0.893296853625171,0.8931822252257782,0.893296853625171,0.8931543832735402,0.8929773217700941,0.9775204863313406,0.8920454545454546,0.8626373626373627,0.8770949720670391,10.0,,lbfgs,,,,,
logistic_regression,0.893296853625171,0.8931822252257782,0.893296853625171,0.8931543832735402,0.8929773217700941,0.9775025612994415,0.8920454545454546,0.8626373626373627,0.8770949720670391,2.0,,lbfgs,,,,,
logistic_regression,0.893296853625171,0.8931822252257782,0.893296853625171,0.8931543832735402,0.8929773217700941,0.9774806699885491,0.8920454545454546,0.8626373626373627,0.8770949720670391,5.0,,lbfgs,,,,,
logistic_regression,0.8919288645690835,0.8921500819843787,0.8919288645690835,0.8915000565130036,0.8919937616431598,0.977039600182204,0.8549222797927462,0.9065934065934066,0.88,0.5,balanced,lbfgs,,,,,
logistic_regression,0.8919288645690835,0.89229128091183,0.8919288645690835,0.8915498755100969,0.8918204113132088,0.9769996748211952,0.8505154639175257,0.9065934065934066,0.8776595744680851,10.0,balanced,lbfgs,,,,,
logistic_regression,0.8919288645690835,0.8917438263025083,0.8919288645690835,0.8917732939779299,0.8915246059253866,0.9774895852201385,0.8870056497175142,0.8626373626373627,0.8746518105849582,1.0,,lbfgs,,,,,
logistic_regression,0.8919288645690835,0.8917438263025083,0.8919288645690835,0.8917732939779299,0.8915246059253866,0.9773836294336476,0.8870056497175142,0.8626373626373627,0.8746518105849582,0.5,,lbfgs,,,,,
random_forest,0.8891928864569083,0.8892133419175864,0.8891928864569083,0.8888796745637995,0.8895542619563147,0.9699966602856869,0.8586387434554974,0.9010989010989011,0.8793565683646113,,balanced,,,sqrt,2.0,4.0,200.0
random_forest,0.8891928864569083,0.8892133419175864,0.8891928864569083,0.8888796745637995,0.8895542619563147,0.9699950914908978,0.8586387434554974,0.9010989010989011,0.8793565683646113,,balanced,,,sqrt,2.0,2.0,200.0
random_forest,0.8891928864569083,0.8892133419175864,0.8891928864569083,0.8888796745637995,0.8895542619563147,0.9699950914908978,0.8586387434554974,0.9010989010989011,0.8793565683646113,,balanced,,,log2,2.0,2.0,200.0
random_forest,0.8891928864569083,0.8892133419175864,0.8891928864569083,0.8888796745637995,0.8895542619563147,0.9699950914908978,0.8586387434554974,0.9010989010989011,0.8793565683646113,,balanced,,,log2,2.0,4.0,200.0
random_forest,0.8891928864569083,0.8890402096914124,0.8891928864569083,0.8890775815174466,0.8888910779912796,0.9720046197042094,0.8820224719101124,0.8626373626373627,0.8722222222222222,,,,20.0,sqrt,1.0,4.0,400.0
random_forest,0.8891928864569083,0.8890402096914124,0.8891928864569083,0.8890775815174466,0.8888910779912796,0.9720046197042094,0.8820224719101124,0.8626373626373627,0.8722222222222222,,,,20.0,log2,1.0,4.0,400.0
random_forest,0.8891928864569083,0.8891521524664339,0.8891928864569083,0.8891166333849325,0.8886068404573527,0.9719637847797373,0.8813559322033898,0.8571428571428571,0.8690807799442897,,,,,sqrt,1.0,4.0,400.0
random_forest,0.8891928864569083,0.8891521524664339,0.8891928864569083,0.8891166333849325,0.8886068404573527,0.9719623508289448,0.8813559322033898,0.8571428571428571,0.8690807799442897,,,,,log2,1.0,4.0,400.0
random_forest,0.8878248974008208,0.8879267587890248,0.8878248974008208,0.8874953084599921,0.8881105788274906,0.9697926495141489,0.8541666666666666,0.9010989010989011,0.8770053475935828,,balanced,,20.0,sqrt,2.0,2.0,200.0
random_forest,0.8878248974008208,0.8879267587890248,0.8878248974008208,0.8874953084599921,0.8881105788274906,0.9697910807193598,0.8541666666666666,0.9010989010989011,0.8770053475935828,,balanced,,20.0,sqrt,2.0,4.0,200.0
random_forest,0.8878248974008208,0.8879267587890248,0.8878248974008208,0.8874953084599921,0.8881105788274906,0.9697910807193598,0.8541666666666666,0.9010989010989011,0.8770053475935828,,balanced,,20.0,log2,2.0,2.0,200.0
random_forest,0.8878248974008208,0.8879267587890248,0.8878248974008208,0.8874953084599921,0.8881105788274906,0.9697910807193598,0.8541666666666666,0.9010989010989011,0.8770053475935828,,balanced,,20.0,log2,2.0,4.0,200.0
logistic_regression,0.8878248974008208,0.8876239053344317,0.8878248974008208,0.8876982884641609,0.8874432975501453,0.9763416499205518,0.8770949720670391,0.8626373626373627,0.8698060941828255,0.1,,lbfgs,,,,,
random_forest,0.8878248974008208,0.88801729453274,0.8878248974008208,0.8876931041911466,0.8873867015192305,0.9699753688445689,0.8953488372093024,0.8461538461538461,0.8700564971751412,,,,10.0,sqrt,2.0,2.0,600.0
random_forest,0.8878248974008208,0.88801729453274,0.8878248974008208,0.8876931041911466,0.8873867015192305,0.9699753688445689,0.8953488372093024,0.8461538461538461,0.8700564971751412,,,,10.0,sqrt,2.0,4.0,600.0
random_forest,0.8878248974008208,0.88801729453274,0.8878248974008208,0.8876931041911466,0.8873867015192305,0.9699753688445689,0.8953488372093024,0.8461538461538461,0.8700564971751412,,,,10.0,log2,2.0,2.0,600.0
random_forest,0.8878248974008208,0.88801729453274,0.8878248974008208,0.8876931041911466,0.8873867015192305,0.9699753688445689,0.8953488372093024,0.8461538461538461,0.8700564971751412,,,,10.0,log2,2.0,4.0,600.0
random_forest,0.8864569083447332,0.8869042529802619,0.8864569083447332,0.8861810182862218,0.8867985012018877,0.9701499025890636,0.8461538461538461,0.9065934065934066,0.8753315649867374,,balanced,,20.0,sqrt,2.0,2.0,600.0
